Demand;Solar
1,478388578;0
3,294757744;0
1,188008502;0
0,148163893;0
0,123567396;0
1,170668946;0
2,175713217;0
0,757877877;0
1,133741403;0
1,812830022;0
0,035046232;0,007
0,102963005;0,112
0,968739914;0,255
1,511650629;0,436
1,798591552;0,605
2,81021214;0,682
1,34944642;0,688
0,623885538;0,62
1,434848404;0,509
1,774554486;0,348
3,01705875;0,135
0,067287272;0,007
0,1445794;0
0,202402114;0
0,093176281;0
0,113068215;0
0,83504837;0
0,828452462;0
1,078581631;0
1,110441605;0
0,172238349;0
0,246479236;0
0,161985842;0
0,167374939;0
0,1805386;0,012
0,128829462;0,178
0,656769329;0,389
0,853650858;0,597
1,743315689;0,703
0,124058003;0,745
0,460855257;0,735
0,433913867;0,682
0,182046392;0,577
1,797650641;0,407
3,125994937;0,202
0,201689052;0,013
0,066434978;0
0,005370048;0
0,087563252;0
0,235030914;0
2,258470088;0
1,72647666;0
0,973436881;0
2,16870536;0
0,697360871;0
1,028318777;0
0,001763081;0
0,000206834;0
3,168690655;0,013
0,049932077;0,178
1,421551361;0,389
0,093239854;0,538
1,005107863;0,684
0,178265533;0,739
0,02805224;0,738
1,105884064;0,687
0,729082345;0,583
0,537370513;0,42
2,832340869;0,212
0,247695171;0,012
0,267247384;0
3,446358738;0
0,046047098;0
0,213242529;0
1,038812056;0
1,176865524;0
0,144644495;0
0,476601578;0
0,23301511;0
0,281437643;0
0,450893057;0
0,281519045;0
3,385256489;0,013
0,078124887;0,173
0,079087579;0,372
0,236622266;0,514
0,235884916;0,585
0,346628731;0,639
0,040314372;0,707
0,50069766;0,665
0,52854714;0,566
0,162925712;0,407
0,283377634;0,176
0,332050349;0,011
0,087616714;0
0,039863148;0
3,336336096;0
2,098571235;0
1,905303416;0
0,246667938;0
1,068143966;0
1,846831115;0
0,715302198;0
0,931302742;0
1,401164222;0
2,13841531;0
0,197839665;0,015
0,460059172;0,177
0,651681652;0,369
1,371425884;0,555
1,729004387;0,665
2,470270402;0,655
1,246141305;0,623
0,955800649;0,6
1,280258629;0,484
2,886856463;0,288
1,638572488;0,142
3,213534266;0,008
3,348714754;0
3,546536974;0
0,24590525;0
0,102153558;0
0,130664857;0
1,84026477;0
0,48595083;0
1,036693683;0
0,418773932;0
0,353201137;0
0,111227132;0
0,121716197;0
0,158992848;0,012
0,005413137;0,154
0,804365782;0,356
0,550235012;0,578
1,75321404;0,678
0,020610826;0,715
0,125013108;0,721
1,732065193;0,676
0,946103167;0,565
1,962717945;0,404
0,538226847;0,203
2,94796911;0,014
2,794690632;0
2,048207738;0
3,175692546;0
2,135239748;0
0,889833641;0
0,536002974;0
0,976828647;0
1,939862861;0
0,770492347;0
1,67931944;0
1,144183212;0
3,055066761;0
2,055609063;0,015
0,358453667;0,189
1,646398907;0,441
1,634003552;0,607
3,261332627;0,695
1,421044108;0,743
0,098714133;0,731
1,401995846;0,681
0,325531232;0,585
0,309688369;0,419
1,640264586;0,188
0,04411948;0,011
2,782794398;0
0,20025957;0
3,508491585;0
1,890413655;0
0,721366043;0
0,18948453;0
0,263673798;0
