type,Demand,Solar,Wind Speed,Wind,Wind,Wind
,0.04952177197,0.0,2.112,0.001120000000000001,0.022240000000000003,0.12704000000000004
,0.9269304156999999,0.0,2.1390000000000002,0.0013900000000000023,0.022780000000000005,0.13838000000000011
,0.7711563385,0.0,2.018,0.00017999999999999795,0.020359999999999996,0.08755999999999992
,0.2001015632,0.0,1.783,0.0,0.015659999999999997,0.06263999999999999
,0.20601231709999998,0.0,1.603,0.0,0.01206,0.04824
,0.01667947118,0.0,1.583,0.0,0.01166,0.04664
,0.4198678942,0.0,1.583,0.0,0.01166,0.04664
,0.05751008858,0.0,1.5710000000000002,0.0,0.011420000000000003,0.04568000000000001
,0.0688728004,0.0,1.596,0.0,0.011920000000000002,0.04768000000000001
,0.03933114334,0.007,1.722,0.0,0.01444,0.05776
