type,Demand,Solar,Wind Speed,Wind,Wind,Wind,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand
number,1,1,30m,1,2,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
13,0.0058868581970000005,0.7809999999999999,3.23,0.0307,0.08715,0.6955,0.0140907932,0.05632858702,0.033353748950000005,0.003924770376,0.001212633434,0.005003272562,0.000617539061,0.000818710982,0.01619257765,2.138664e-06,1.6947993999999998e-05,5.887156e-06,1.497933e-06,0.0,1.776099e-06,0.4414467226,1.023951558,0.1866625804,0.007607787161
14,1.781855902,0.735,3.063,0.015670000000000017,0.05291500000000003,0.5535500000000002,1.1213185060000002,1.8564195989999999,3.1968918250000002,3.634309508,2.897801512,2.156796021,1.8981542149999997,1.136296214,1.115256374,1.7642020670000003,0.9506736060000001,0.6218478231,0.8219713077999999,1.01364318,0.8036623766000001,15.67362088,21.32816558,18.398866169999998,24.41406049
15,0.0,0.638,3.0860000000000003,0.017739999999999992,0.05762999999999996,0.5730999999999999,0.5203886739,0.3050467706,0.34139346989999997,0.5506137728999999,0.07513948822000001,0.02071879735,0.09322351707,0.0031584465189999997,0.08766173634999999,0.0,0.0,0.0,0.0,0.0,0.0,3.5833910569999996,4.692750661,0.7715234947999999,0.6943711453
16,0.017142681670000003,0.486,3.213,0.029170000000000012,0.08366500000000003,0.68105,0.5951834915,0.0,0.0,0.0,0.0,0.0,0.0,0.1386497352,0.10362693229999999,0.0,0.0,0.0,0.0,0.0,0.0,2.014740647,0.09775765798000001,0.9120354704,0.8208319232000001
17,0.007231137669,0.26899999999999996,3.2030000000000003,0.028269999999999983,0.08161499999999998,0.6725499999999999,0.2510607062,0.0,0.0,0.0,0.0,0.0,0.0,0.058485325860000006,0.04371198324,0.0,0.0,0.0,0.0,0.0,0.0,0.8498592735999999,0.04123620195,0.38471542389999996,0.3462438817
18,0.9432368595,0.027999999999999997,2.83,0.0083,0.0366,0.4286,0.313530426,0.5150326784,1.020731749,1.1107068789999999,1.280115281,2.1783964649999996,2.601708457,3.0105375530000003,3.9755329079999995,2.761139396,3.1332525579999997,2.6642709219999996,3.4367202369999994,4.063225048,4.127268794,3.839935728,1.7820933760000002,3.829253045,3.313703994
19,1.673602085,0.0,2.7939999999999996,0.007940000000000001,0.03588,0.41348,1.109929133,1.412590329,2.99234153,3.172790303,3.818319072,4.36960004,4.746147967,4.883159146,6.184595789,6.658073504999999,5.9532594770000005,5.510386356,7.223229213,8.780085236000001,7.60935447,12.85973335,10.53294596,16.938881140000003,21.13043995
20,1.3872526490000001,0.0,2.9189999999999996,0.009190000000000002,0.03838,0.46598,0.2708754123,0.4981666897,1.124491194,1.314872169,1.799104311,2.9963860909999998,3.5269664069999997,4.1153356599999995,5.6060274340000005,5.435236504,8.238073074,7.889824722,6.754084468000001,8.198430523999999,10.443923840000002,4.116203979,1.8701720949999998,4.191475424999999,3.6331493
21,1.4367701210000001,0.0,3.2,0.02800000000000001,0.08100000000000003,0.6700000000000002,0.35319078160000006,0.7156339636,1.6856853420000002,1.992309909,2.6110196960000005,3.2143034559999997,3.8582590060000004,4.513420921,6.080682455,6.605494165,9.887949037,10.11840758,8.781979001,10.837349340000001,13.27846564,5.22874132,4.3408380829999995,5.303669198,5.477596275
22,1.188887307,0.0,3.17,0.025299999999999996,0.07485,0.6445,0.44471458820000004,1.452320632,1.8166352920000002,2.17252105,2.7733388719999996,3.464001821,4.163655782,4.864039287,6.553051193,7.118632118000001,10.6560796,10.90444097,9.464193929,11.67923264,14.309983419999998,6.739924555,6.6142824319999995,4.273117927,5.903115164
23,0.39669914520000005,0.0,3.1660000000000004,0.024939999999999997,0.07402999999999997,0.6410999999999999,0.2034514773,0.6213690936,0.6721601713,0.7314095274,0.8429663402,1.5388324380000002,1.716564934,1.9824635010000002,2.617920803,1.818232783,2.063272332,1.7544441039999998,2.2631082699999996,2.675666792,2.71784012,3.1749769929999996,2.3060881679999996,1.677794997,2.182101072
24,0.5397172653,0.0,3.2239999999999998,0.03016000000000002,0.08592000000000004,0.6904000000000002,0.4973520092,0.4356628678,0.917480765,0.9445581537000001,1.0641448629999999,1.252345558,1.239914832,1.2325229789999999,1.4930184800000001,1.304595928,1.228955112,1.000390159,1.295175835,1.5412879560000001,1.511534327,4.126261367,3.628571036,4.823260232,6.546047850999999
25,0.134147463,0.0,3.2310000000000003,0.030789999999999988,0.08735499999999997,0.6963499999999999,0.2441483826,0.4443500563999999,0.988803238,1.075963944,1.240073248,2.072706745,2.3816560829999998,2.732407164,3.7161896340000005,2.674770896,3.0352443520000003,2.5809324699999996,3.3292195550000003,3.9361272819999997,3.9981677380000002,1.0953419919999998,1.5990064849999999,1.28012199,2.140803293
26,0.13905610659999998,0.0,3.074,0.016659999999999987,0.05516999999999997,0.5628999999999998,0.2530821139,0.4606094474,1.024984933,1.115334972,1.285449265,2.1485499879999996,2.4688042149999996,2.83238977,3.8521702170000003,2.77264451,3.1463081940000004,2.675372405,3.4510403619999996,4.080155692,4.144466296000001,1.13542209,1.6575163710000003,1.326963446,2.219138284
27,0.13532055969999998,0.0,2.8310000000000004,0.008309999999999998,0.03662,0.42902,0.2462834187,0.4482358221,0.9974501541,1.085373066,1.2509174779999999,2.0908322129999997,2.40248326,2.7563015999999996,3.74868708,2.698161313,3.0617870469999997,2.603502286,3.3583330140000003,3.9705480450000006,4.033131035,1.104920572,1.612989524,1.2913164390000003,2.159524253
28,1.0898202240000001,0.0,2.744,0.007439999999999999,0.034879999999999994,0.3924799999999999,1.155237267,1.79054481,4.653630271,3.744688273,3.2098769399999996,3.612907342,3.723798142,3.550228081,4.495324212,3.9228880250000002,3.695561508,3.008183866,3.894556863,4.634594255,4.545140919,12.450105859999999,10.93262436,16.04788109,19.74666676
29,1.128980297,0.0,2.783,0.007829999999999998,0.035660000000000004,0.40886,0.3918221564,0.6338567893999999,2.2270807610000003,2.5630534980000004,2.354162413,3.093983323,3.629356515,4.595652492,5.613861945000001,5.584650487,5.499177421000001,5.29833447,6.93975342,8.423804374,7.360950045000001,4.114866714,7.505645323999999,6.282779346,2.542854547
